f6002500000000000000000074681602| START_THREAD
3b390100000000000000000000000000| UNKNOWN_3b
47000000000000000000000000000000| UNKNOWN_47
23010000000000000000000000000000| UNKNOWN_23
26010000000000000000000000000000| UNKNOWN_26
08000000b20000000000000000000000| UNKNOWN_08
db006400000000000000000000000000| SLEEP
39001e00000000000000000000661602| MSG_FLOATY
39001e000000000000000000d0661602| MSG_FLOATY
39001e00000000000000000038681602| MSG_FLOATY
39001e000000000000000000ec6a1602| MSG_FLOATY
39001e000000000000000000e8661602| MSG_FLOATY
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
3400ffff000000000000000050651602| MSG_SPEECH
3400ffff000000000000000058651602| MSG_SPEECH
3400ffff0000000000000000e0651602| MSG_SPEECH
cf022600ffffffff0000000000000000| VARY_MSG
d0000100000000000000000068651602| CASE
d00001000000000000000000146b1602| CASE
d1000000000000000000000010661602| DEFAULT
d10000000000000000000000dc6c1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
0c00ffff000000000000000000000000| LOAD_MAP
45003c00650000000000000000000000| FADE_IN
22013c00000000000000000000000000| UNKNOWN_22
3b390400000000000000000000000000| UNKNOWN_3b
e3000300000000000000000000000000| WAIT_FLAG
48001e00000000000000000000000000| FADE_OUT
02001e00000000000000000000000000| WARPTO_DIRECT
ef000000000000000000000000000000| END
