f6004c00000000000000000074681602| START_THREAD
e8003500000000000000000000000000| EXECUTE
2d010000000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
2e020000000000000000000000000000| KAOMADO
2e030100000000000000000000000000| KAOMADO
e8002000000000000000000000000000| EXECUTE
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000c0691602| CASE
d1000000000000000000000014691602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
33000000000000000000000030671602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
4c000000d40100000000000000000000| PLAY_SOUND
91040200020000000000000000000000| ROTATE
db001400000000000000000000000000| SLEEP
4c000000d40100000000000000000000| PLAY_SOUND
91040100060000000000000000000000| ROTATE
db001400000000000000000000000000| SLEEP
4c000000d40100000000000000000000| PLAY_SOUND
91040200020000000000000000000000| ROTATE
db003200000000000000000000000000| SLEEP
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000586f1602| CASE
d000030000000000000000008c6f1602| CASE
d10000000000000000000000a4701602| DEFAULT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e030100010000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000b4681602| CASE
d00003000000000000000000f4681602| CASE
d10000000000000000000000b4681602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000a4741602| CASE
d000030000000000000000007c731602| CASE
d1000000000000000000000088711602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
54000500000000000000000000000000| SET_ANIM
db002d00000000000000000000000000| SLEEP
54000200000000000000000000000000| SET_ANIM
db001e00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150100040000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000054691602| CASE
d00001000000000000000000c4711602| CASE
d00003000000000000000000e4671602| CASE
d00003000000000000000000f06e1602| CASE
d10000000000000000000000c8671602| DEFAULT
