f6001602000000000000000074681602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
db001e00000000000000000000000000| SLEEP
2e020000000000000000000000000000| KAOMADO
2e030100000000000000000000000000| KAOMADO
2e0f0200000000000000000000000000| KAOMADO
2e0e0300000000000000000000000000| KAOMADO
340002000000000000000000b8761602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150100090000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000d8771602| CASE
d0000100000000000000000034701602| CASE
d1000000000000000000000074771602| DEFAULT
d100000000000000000000005c6e1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
340002000000000000000000586c1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000074651602| CASE
d0000300000000000000000074651602| CASE
d1000000000000000000000074651602| DEFAULT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
34000100000000000000000064661602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db001e00000000000000000000000000| SLEEP
2e150300410000000000000000000000| KAOMADO
34000300000000000000000060671602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db001e00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
db000100000000000000000000000000| SLEEP
4c000000d60100000000000000000000| PLAY_SOUND
e8002a00000000000000000000000000| EXECUTE
db001e00000000000000000000000000| SLEEP
4d000000d60100000000000000000000| STOP_SOUND
2e150000040000000000000000000000| KAOMADO
330000000000000000000000cc6d1602| MSG_THOUGHT
33000000000000000000000014711602| MSG_THOUGHT
2e150000010000000000000000000000| KAOMADO
330000000000000000000000c4731602| MSG_THOUGHT
3300000000000000000000004c711602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
34000300000000000000000090671602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001400000000000000000000000000| SLEEP
340002000000000000000000a4751602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
3c2c0000370000000000000000000000| REWARD
db000a00000000000000000000000000| SLEEP
3c2c0000420000000100000000000000| REWARD
db000a00000000000000000000000000| SLEEP
3c2c00003f0000000100000000000000| REWARD
30000000000000000000000000000000| MSG_EXIT
db003c00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
340002000000000000000000d4681602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
db001e00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
910a0100020000000000000000000000| ROTATE
e3000500000000000000000000000000| WAIT_FLAG
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150100010000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000e4691602| CASE
d1000000000000000000000048671602| DEFAULT
91080100020000000000000000000000| ROTATE
db000a00000000000000000000000000| SLEEP
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000b46b1602| CASE
d0000100000000000000000078721602| CASE
d10000000000000000000000b06c1602| DEFAULT
d10000000000000000000000dc701602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
2e150000040000000000000000000000| KAOMADO
33000000000000000000000020661602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000000761602| CASE
d100000000000000000000004c751602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
91080a00020000000000000000000000| ROTATE
db000a00000000000000000000000000| SLEEP
e4000300000000000000000000000000| SET_FLAG
6b000001100000000000000000000000| MOVETO_GRID
f0000000000000000000000000000000| CLOSE
