f60002060000000000000000c0931602| START_THREAD
3b390400000000000000000000000000| UNKNOWN_3b
08000000090000000000000000000000| UNKNOWN_08
0c00ffff000000000000000000000000| LOAD_MAP
44000000010000000000000000000000| PLAY_SONG
22011e00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
3b390100000000000000000000000000| UNKNOWN_3b
48007800000000000000000000000000| FADE_OUT
23013c00000000000000000000000000| UNKNOWN_23
26010000000000000000000000000000| UNKNOWN_26
2d090000210000000000000000000000| LOAD
2d090100220000000000000000000000| LOAD
db003c00000000000000000000000000| SLEEP
39001e0000000000000000004c751602| MSG_FLOATY
39001e00000000000000000000dd1602| MSG_FLOATY
39001e00000000000000000058781602| MSG_FLOATY
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
ef000000000000000000000000000000| END
