f60096050000000000000000ac721602| START_THREAD
e8003500000000000000000000000000| EXECUTE
2d070000000000000000000000000000| LOAD
2d090100220000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e8002000000000000000000000000000| EXECUTE
e8002100000000000000000000000000| EXECUTE
2e000000000000000000000000000000| KAOMADO
330000000000000000000000ac6b1602| MSG_THOUGHT
3300000000000000000000001c741602| MSG_THOUGHT
33000000000000000000000000761602| MSG_THOUGHT
330000000000000000000000ac6b1602| MSG_THOUGHT
33000000000000000000000084931602| MSG_THOUGHT
3300000000000000000000005c8a1602| MSG_THOUGHT
330000000000000000000000a8821602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
