f600fe000000000000000000dc651602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
db005a00000000000000000000000000| SLEEP
2e030300010000000000000000000000| KAOMADO
2e0e0400010000000000000000000000| KAOMADO
2e020500010000000000000000000000| KAOMADO
e4000900000000000000000000000000| SET_FLAG
e4000600000000000000000000000000| SET_FLAG
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
340004000000000000000000d0671602| MSG_SPEECH
e4000900000000000000000000000000| SET_FLAG
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000a00000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
340005000000000000000000b0651602| MSG_SPEECH
e4000a00000000000000000000000000| SET_FLAG
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000900000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
340004000000000000000000b0651602| MSG_SPEECH
e4000900000000000000000000000000| SET_FLAG
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
340003000000000000000000c0651602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000800000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db001e00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
e4000a00000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e0f0200000000000000000000000000| KAOMADO
34000200000000000000000080661602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
3c2b0000030000000100000000000000| REWARD
3c2c00003a0000000100000000000000| REWARD
3c2c00003f0000000100000000000000| REWARD
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
e4000a00000000000000000000000000| SET_FLAG
db001e00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
91080200000000000000000000000000| ROTATE
db005a00000000000000000000000000| SLEEP
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
