f60093010000000000000000dc651602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070500000000000000000000000000| LOAD
530000001f0000000000000000000000| UNKNOWN_53
e3000a00000000000000000000000000| WAIT_FLAG
e8002e00000000000000000000000000| EXECUTE
91040100040000000000000000000000| ROTATE
91040100000000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000a00000000000000000000000000| WAIT_FLAG
e8002f00000000000000000000000000| EXECUTE
e4000500000000000000000000000000| SET_FLAG
e3000a00000000000000000000000000| WAIT_FLAG
91040a00010000000000000000000000| ROTATE
e3000a00000000000000000000000000| WAIT_FLAG
6b000001020000000000000000000000| MOVETO_GRID
520000001f0000000000000000000000| UNKNOWN_52
f0000000000000000000000000000000| CLOSE
