f6002506000000000000000070801602| START_THREAD
a6000d00010000000000000000000000| UNKNOWN_a6
a6000f00090000000000000000000000| UNKNOWN_a6
a6001d00020000000000000000000000| UNKNOWN_a6
a6001e00000000000000000000000000| UNKNOWN_a6
08000000010000000000000000000000| UNKNOWN_08
0c00ffff000000000000000000000000| LOAD_MAP
0c000700000000000000000000000000| LOAD_MAP
44000000070000000000000000000000| PLAY_SONG
22011e00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
10000000000000000000000000000000| UNKNOWN_10
ef000000000000000000000000000000| END
