f6009e06000000000000000070801602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070100000000000000000000000000| LOAD
6b008000080000000000000000000000| MOVETO_GRID
e5000500000000000000000000000000| UNKNOWN_e5
e3000600000000000000000000000000| WAIT_FLAG
8e040a00000000000000000000000000| UNKNOWN_8e
54000400000000000000000000000000| SET_ANIM
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
91040a00020000000000000000000000| ROTATE
54000200000000000000000000000000| SET_ANIM
e3000600000000000000000000000000| WAIT_FLAG
8e040a00000000000000000000000000| UNKNOWN_8e
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
91040a00020000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
ef000000000000000000000000000000| END
