f6003706000000000000000070801602| START_THREAD
98000000000000000000000000000000| UNKNOWN_98
e3000400000000000000000000000000| WAIT_FLAG
86000002090000000000000000000000| MOVE_CAMERA_TO_WAYPOINT
e4000500000000000000000000000000| SET_FLAG
e3000400000000000000000000000000| WAIT_FLAG
860000020a0000000000000000000000| MOVE_CAMERA_TO_WAYPOINT
e4000500000000000000000000000000| SET_FLAG
e3000400000000000000000000000000| WAIT_FLAG
860000020b0000000000000000000000| MOVE_CAMERA_TO_WAYPOINT
e4000500000000000000000000000000| SET_FLAG
e3000400000000000000000000000000| WAIT_FLAG
860000020c0000000000000000000000| MOVE_CAMERA_TO_WAYPOINT
e4000500000000000000000000000000| SET_FLAG
e3000400000000000000000000000000| WAIT_FLAG
860000020d0000000000000000000000| MOVE_CAMERA_TO_WAYPOINT
99000000000000000000000000000000| UNKNOWN_99
db000100000000000000000000000000| SLEEP
e4000500000000000000000000000000| SET_FLAG
f1000000000000000000000000000000| REMOVE
