f60049060000000000000000946b1602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070100000000000000000000000000| LOAD
8950cc00020000000000000000000000| UNKNOWN_89
e3000600000000000000000000000000| WAIT_FLAG
6b0000010d0000000000000000000000| MOVETO_GRID
db001400000000000000000000000000| SLEEP
8e140000000000000000000000000000| UNKNOWN_8e
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
db001400000000000000000000000000| SLEEP
8b140400000000000000000000000000| FACE_DIR
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
93040a00000000000000000000000000| UNKNOWN_93
e5000500000000000000000000000000| UNKNOWN_e5
e3000600000000000000000000000000| WAIT_FLAG
52000000001000000000000000000000| UNKNOWN_52
ef000000000000000000000000000000| END
