f60072060000000000000000946b1602| START_THREAD
53000000000000010000000000000000| UNKNOWN_53
530000001f0000000000000000000000| UNKNOWN_53
54000100000000000000000000000000| SET_ANIM
60000000180000000000000000000000| UNKNOWN_60
2d070300000000000000000000000000| LOAD
e3000800000000000000000000000000| WAIT_FLAG
db00a000000000000000000000000000| SLEEP
7a0078000f0000000000000000000000| MOVETO_DIRECT
db000f00000000000000000000000000| SLEEP
911e0a00000000000000000000000000| ROTATE
db000f00000000000000000000000000| SLEEP
68000001080000000000000000000000| CHANGE_Z
db000f00000000000000000000000000| SLEEP
f1000000000000000000000000000000| REMOVE
