f6000c060000000000000000ac721602| START_THREAD
e8003500000000000000000000000000| EXECUTE
2d070000000000000000000000000000| LOAD
2d090200420000000000000000000000| LOAD
2d090300440000000000000000000000| LOAD
2d090400450000000000000000000000| LOAD
e3000500000000000000000000000000| WAIT_FLAG
df000000000000000000000000000000| UNKNOWN_df
db003c00000000000000000000000000| SLEEP
3400ffff00000000000000003c6b1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e8002000000000000000000000000000| EXECUTE
db003c00000000000000000000000000| SLEEP
4c000000d40100000000000000000000| PLAY_SOUND
92040200040000000000000000000000| UNKNOWN_92
db000f00000000000000000000000000| SLEEP
4c000000d40100000000000000000000| PLAY_SOUND
92040100050000000000000000000000| UNKNOWN_92
db000f00000000000000000000000000| SLEEP
92040200040000000000000000000000| UNKNOWN_92
db000f00000000000000000000000000| SLEEP
db001e00000000000000000000000000| SLEEP
4c000000d50100000000000000000000| PLAY_SOUND
e8002900000000000000000000000000| EXECUTE
db000f00000000000000000000000000| SLEEP
3400ffff000000000000000018821602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
4c000000d40100000000000000000000| PLAY_SOUND
92040200050000000000000000000000| UNKNOWN_92
db000f00000000000000000000000000| SLEEP
4c000000d40100000000000000000000| PLAY_SOUND
92040200040000000000000000000000| UNKNOWN_92
db000f00000000000000000000000000| SLEEP
4c000000d40100000000000000000000| PLAY_SOUND
92040100050000000000000000000000| UNKNOWN_92
db000f00000000000000000000000000| SLEEP
92040100030000000000000000000000| UNKNOWN_92
db001e00000000000000000000000000| SLEEP
3400ffff000000000000000004951602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
0c01ffff000000000000000000000000| LOAD_MAP
db001400000000000000000000000000| SLEEP
e8002600000000000000000000000000| EXECUTE
e3000500000000000000000000000000| WAIT_FLAG
db001e00000000000000000000000000| SLEEP
45003c00010000000000000000000000| FADE_IN
3400ffff0000000000000000747f1602| MSG_SPEECH
340002000000000000000000d87a1602| MSG_SPEECH
3400020000000000000000000c731602| MSG_SPEECH
3400020000000000000000006c8b1602| MSG_SPEECH
340002000000000000000000148c1602| MSG_SPEECH
3400020000000000000000006c8f1602| MSG_SPEECH
340002000000000000000000a07f1602| MSG_SPEECH
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
3400020000000000000000000c8e1602| MSG_SPEECH
34000200000000000000000000811602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db003200000000000000000000000000| SLEEP
4c000000d60100000000000000000000| PLAY_SOUND
e8002a00000000000000000000000000| EXECUTE
db000a00000000000000000000000000| SLEEP
3300000000000000000000000c6b1602| MSG_THOUGHT
33000000000000000000000044921602| MSG_THOUGHT
330000000000000000000000b0731602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
