f600140b0000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200420000000000000000000000| LOAD
2d090300440000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e000100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000e8741602| CASE
d10000000000000000000000587c1602| DEFAULT
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000d0791602| CASE
d10000000000000000000000787a1602| DEFAULT
e4000600000000000000000000000000| SET_FLAG
2e1501000b0000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000b0e71602| CASE
d1000000000000000000000090fb1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
3400ffff000000000000000004671602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
0c01ffff000000000000000000000000| LOAD_MAP
db000f00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e8002b00000000000000000000000000| EXECUTE
6200000100000000fcffffff00000000| MOVE_NOROTATE
db003c00000000000000000000000000| SLEEP
2e030200000000000000000000000000| KAOMADO
340002000000000000000000a0a61602| MSG_SPEECH
3400020000000000000000009cd61602| MSG_SPEECH
340002000000000000000000f4c01602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db003200000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
4c000000d60100000000000000000000| PLAY_SOUND
e3000500000000000000000000000000| WAIT_FLAG
db000a00000000000000000000000000| SLEEP
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000020de1602| CASE
d10000000000000000000000749f1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000600000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
