f600c30b0000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090500430000000000000000000000| LOAD
a6003900000000000000000000000000| UNKNOWN_a6
df000000000000000000000000000000| UNKNOWN_df
db001e00000000000000000000000000| SLEEP
2e0e0200000000000000000000000000| KAOMADO
340002000000000000000000ec8d1602| MSG_SPEECH
e4000600000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
93040a00440000000000000000000000| UNKNOWN_93
34000200000000000000000010d91602| MSG_SPEECH
340002000000000000000000a8191702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
4c000000d60100000000000000000000| PLAY_SOUND
e8002a00000000000000000000000000| EXECUTE
db001e00000000000000000000000000| SLEEP
2e030100040000000000000000000000| KAOMADO
340001000000000000000000a8701602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e0f0300000000000000000000000000| KAOMADO
340003000000000000000000e07b1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db002d00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
2e150100090000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000e0191702| CASE
d1000000000000000000000048051702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
340002000000000000000000d48c1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
3400ffff0000000000000000d8cd1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
91040200060000000000000000000000| ROTATE
dc000a00140000000000000000000000| UNKNOWN_dc
91040100020000000000000000000000| ROTATE
dc000a00140000000000000000000000| UNKNOWN_dc
91040100000000000000000000000000| ROTATE
dc000a00140000000000000000000000| UNKNOWN_dc
91040100040000000000000000000000| ROTATE
db002d00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e8002900000000000000000000000000| EXECUTE
2e150100040000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000048af1602| CASE
d1000000000000000000000054d81602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
3400ffff00000000000000006c541702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
0c01ffff000000000000000000000000| LOAD_MAP
e3000500000000000000000000000000| WAIT_FLAG
e4000600000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
4c000000d10100000000000000000000| PLAY_SOUND
e8002b00000000000000000000000000| EXECUTE
91040a00030000000000000000000000| ROTATE
db001e00000000000000000000000000| SLEEP
3400ffff000000000000000064761602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000700000000000000000000000000| SET_FLAG
3400020000000000000000008c681602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e030400000000000000000000000000| KAOMADO
e4000900000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
34000400000000000000000050de1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
91040a00040000000000000000000000| ROTATE
340002000000000000000000bc9e1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
db000a00000000000000000000000000| SLEEP
91040a00030000000000000000000000| ROTATE
2e0f0400000000000000000000000000| KAOMADO
3400040000000000000000004cd71602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e3000500000000000000000000000000| WAIT_FLAG
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000c81f1702| CASE
d00001000000000000000000e0311702| CASE
d0000300000000000000000060971602| CASE
d000030000000000000000007c051702| CASE
d100000000000000000000006cc51602| DEFAULT
d1000000000000000000000018131702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
db000a00000000000000000000000000| SLEEP
2e020400000000000000000000000000| KAOMADO
34000400000000000000000074c61602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e3000500000000000000000000000000| WAIT_FLAG
340003000000000000000000b0051702| MSG_SPEECH
3400030000000000000000008c851702| MSG_SPEECH
34000300000000000000000094d51602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
