f600280e0000000000000000c0931602| START_THREAD
57000200000000000000000000000000| UNKNOWN_57
2d070400000000000000000000000000| LOAD
4c000000c60100000000000000000000| PLAY_SOUND
54001600000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
54000200000000000000000000000000| SET_ANIM
e4000500000000000000000000000000| SET_FLAG
e3000900000000000000000000000000| WAIT_FLAG
91040a00050000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000900000000000000000000000000| WAIT_FLAG
91040a00000000000000000000000000| ROTATE
e3000900000000000000000000000000| WAIT_FLAG
91040a00030000000000000000000000| ROTATE
e3000900000000000000000000000000| WAIT_FLAG
91040a00070000000000000000000000| ROTATE
e3000900000000000000000000000000| WAIT_FLAG
91040a00010000000000000000000000| ROTATE
e3000900000000000000000000000000| WAIT_FLAG
91040a00000000000000000000000000| ROTATE
e3000900000000000000000000000000| WAIT_FLAG
4c000000e60100000000000000000000| PLAY_SOUND
54001700000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
2d090400420000000000000000000000| LOAD
57000000000000000000000000000000| UNKNOWN_57
f1000000000000000000000000000000| REMOVE
