f60098060000000000000000ac721602| START_THREAD
ab000000ffffffff0000000000000000| UNKNOWN_ab
a6000d000c0000000000000000000000| UNKNOWN_a6
a6000f000c0000000000000000000000| UNKNOWN_a6
a6001d00000000000000000000000000| UNKNOWN_a6
a6001e00000000000000000000000000| UNKNOWN_a6
47000000000000000000000000000000| UNKNOWN_47
080000000c0000000000000000000000| UNKNOWN_08
23010000000000000000000000000000| UNKNOWN_23
26010000000000000000000000000000| UNKNOWN_26
39001e000000000000000000346c1602| MSG_FLOATY
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
0c00ffff000000000000000000000000| LOAD_MAP
44000000010000000000000000000000| PLAY_SONG
22013c00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
10000000000000000000000000000000| UNKNOWN_10
ef000000000000000000000000000000| END
