f600540e0000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090100220000000000000000000000| LOAD
2d090200520000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e4000600000000000000000000000000| SET_FLAG
e8002100000000000000000000000000| EXECUTE
e3000500000000000000000000000000| WAIT_FLAG
2e020100090000000000000000000000| KAOMADO
340001000000000000000000e8741602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e020100010000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000507f1702| CASE
d10000000000000000000000f42c1702| DEFAULT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000080de1602| CASE
d000010000000000000000000c8d1602| CASE
d1000000000000000000000040e21602| DEFAULT
d10000000000000000000000c0921602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
54000500000000000000000000000000| SET_ANIM
db002d00000000000000000000000000| SLEEP
54000200000000000000000000000000| SET_ANIM
db001000000000000000000000000000| SLEEP
3200ffff00000000000000008ca21602| MSG_PLAIN
30000000000000000000000000000000| MSG_EXIT
db001000000000000000000000000000| SLEEP
2e150100040000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000018771602| CASE
d00001000000000000000000e4051702| CASE
d00001000000000000000000e87c1602| CASE
d00001000000000000000000d4771702| CASE
d10000000000000000000000b0721602| DEFAULT
d1000000000000000000000088131702| DEFAULT
d10000000000000000000000c0701602| DEFAULT
d10000000000000000000000a4711702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000a0011702| CASE
d0000100000000000000000094ca1602| CASE
d10000000000000000000000e4d41602| DEFAULT
d1000000000000000000000008b81602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001000000000000000000000000000| SLEEP
2e0f0000040000000000000000000000| KAOMADO
33000000000000000000000044781602| MSG_THOUGHT
330000000000000000000000b0de1602| MSG_THOUGHT
d400ffff000000000000000030a91602| UNKNOWN_d4
d9000500000000000000000050761602| OPTION
d90006000000000000000000948e1602| OPTION
f4000600000000000000000000000000| LABEL
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150100050000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000008681602| CASE
d1000000000000000000000008681602| DEFAULT
2e150100090000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000a0991602| CASE
d000010000000000000000007ccd1702| CASE
d10000000000000000000000787d1602| DEFAULT
d1000000000000000000000024d11702| DEFAULT
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000e43c1702| CASE
d100000000000000000000000c7c1702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150000040000000000000000000000| KAOMADO
33000000000000000000000060801602| MSG_THOUGHT
330000000000000000000000a8271702| MSG_THOUGHT
4c000000d60100000000000000000000| PLAY_SOUND
e8002a00000000000000000000000000| EXECUTE
e200d601000000000000000000000000| WAIT_SEND
2e150000050000000000000000000000| KAOMADO
330000000000000000000000f8131702| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
2e150100010000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000000ac1602| CASE
d0000100000000000000000078551702| CASE
d00001000000000000000000ec711702| CASE
d000030000000000000000007c9d1602| CASE
d000030000000000000000008cd41602| CASE
d00003000000000000000000bc551702| CASE
d10000000000000000000000dca01602| DEFAULT
d10000000000000000000000501a1702| DEFAULT
d1000000000000000000000000561702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
e7000900000000000000000000000000| GOTO_LABEL
f4000500000000000000000000000000| LABEL
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000f8c61602| CASE
d00003000000000000000000000d1702| CASE
d1000000000000000000000060fe1602| DEFAULT
2e150100010000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000085f1702| CASE
d000030000000000000000004c5f1702| CASE
d1000000000000000000000030591702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
db003c00000000000000000000000000| SLEEP
f4000900000000000000000000000000| LABEL
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d000010000000000000000006c2d1702| CASE
d00001000000000000000000fc951702| CASE
d00001000000000000000000c4891602| CASE
d1000000000000000000000070381702| DEFAULT
d10000000000000000000000acb71702| DEFAULT
d10000000000000000000000f4771602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
48007800000000000000000000000000| FADE_OUT
e4000600000000000000000000000000| SET_FLAG
db000100000000000000000000000000| SLEEP
54000200000000000000000000000000| SET_ANIM
530000001f0000000000000000000000| UNKNOWN_53
6b0000011b0000000000000000000000| MOVETO_GRID
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
