f6004608000000000000000070801602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
db000100000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
6b000001120000000000000000000000| MOVETO_GRID
91040a00040000000000000000000000| ROTATE
db001e00000000000000000000000000| SLEEP
2e030100000000000000000000000000| KAOMADO
34000200000000000000000070351702| MSG_SPEECH
34000200000000000000000014a31602| MSG_SPEECH
340002000000000000000000882f1702| MSG_SPEECH
3400020000000000000000009c6b1702| MSG_SPEECH
340002000000000000000000d0691702| MSG_SPEECH
340002000000000000000000c45e1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
4c0000005b0200000000000000000000| PLAY_SOUND
28010500020000001080800000000000| UNKNOWN_28
27010500020000001080800000000000| UNKNOWN_27
28010500020000001080800000000000| UNKNOWN_28
27010500020000001080800000000000| UNKNOWN_27
e2005b02000000000000000000000000| WAIT_SEND
49000000ce0000000000000000000000| UNKNOWN_49
3b170000000000000000000000000000| UNKNOWN_3b
34000200000000000000000090fc1602| MSG_SPEECH
340002000000000000000000c4b81602| MSG_SPEECH
34000200000000000000000064251702| MSG_SPEECH
34000200000000000000000034a81702| MSG_SPEECH
340002000000000000000000b8ed1602| MSG_SPEECH
340002000000000000000000c8311702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
0c01ffff000000000000000000000000| LOAD_MAP
db000100000000000000000000000000| SLEEP
db000f00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
91040a00060000000000000000000000| ROTATE
e4000700000000000000000000000000| SET_FLAG
2e0c0300000000000000000000000000| KAOMADO
340003000000000000000000b8df1602| MSG_SPEECH
34000300000000000000000084421702| MSG_SPEECH
34000300000000000000000080991602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
340002000000000000000000b06c1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
e4000600000000000000000000000000| SET_FLAG
91040a00040000000000000000000000| ROTATE
340002000000000000000000fc7d1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
4c0000005b0200000000000000000000| PLAY_SOUND
28010500020000001080800000000000| UNKNOWN_28
27010500020000001080800000000000| UNKNOWN_27
28010500020000001080800000000000| UNKNOWN_28
27010500020000001080800000000000| UNKNOWN_27
e2005b02000000000000000000000000| WAIT_SEND
49000000ce0000000000000000000000| UNKNOWN_49
340002000000000000000000ccfc1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
2e020400410000000000000000000000| KAOMADO
340004000000000000000000f8871602| MSG_SPEECH
340004000000000000000000b06e1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
db000f00000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
e4000600000000000000000000000000| SET_FLAG
e4000700000000000000000000000000| SET_FLAG
91040a00060000000000000000000000| ROTATE
2e150300000000000000000000000000| KAOMADO
34000300000000000000000084591702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
34000300000000000000000054b01602| MSG_SPEECH
340003000000000000000000703e1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
340003000000000000000000e83b1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
340001000000000000000000185f1702| MSG_SPEECH
2e150100010000000000000000000000| KAOMADO
340001000000000000000000b8351702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150300410000000000000000000000| KAOMADO
34000300000000000000000060891602| MSG_SPEECH
340003000000000000000000783c1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000900000000000000000000000000| SET_FLAG
2e150400410000000000000000000000| KAOMADO
340004000000000000000000b47b1602| MSG_SPEECH
34000400000000000000000000701602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
49000000cc0000000000000000000000| UNKNOWN_49
3200ffff0000000000000000387e1602| MSG_PLAIN
e100cc00000000000000000000000000| UNKNOWN_e1
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
3b180000000000000000000000000000| UNKNOWN_3b
