f6009609000000000000000070801602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
db000100000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e030100040000000000000000000000| KAOMADO
34000100000000000000000018301702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
48007800000000000000000000000000| FADE_OUT
e4000400000000000000000000000000| SET_FLAG
530000001f0000000000000000000000| UNKNOWN_53
86000001160000000000000000000000| MOVE_CAMERA_TO_WAYPOINT
93040b004e0000000000000000000000| UNKNOWN_93
e4000600000000000000000000000000| SET_FLAG
db001e00000000000000000000000000| SLEEP
e3000500000000000000000000000000| WAIT_FLAG
db000f00000000000000000000000000| SLEEP
2e0f0200410000000000000000000000| KAOMADO
34000200000000000000000074b71602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e020300000000000000000000000000| KAOMADO
34000300000000000000000014bd1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
340002000000000000000000a4ae1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000400000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e0e0100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000014741602| CASE
d10000000000000000000000607b1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
93040b004d0000000000000000000000| UNKNOWN_93
e4000900000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e050400000000000000000000000000| KAOMADO
3400040000000000000000003c791602| MSG_SPEECH
34000400000000000000000060291702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000400000000000000000000000000| SLEEP
e4000900000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
340004000000000000000000106e1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000400000000000000000000000000| SLEEP
e4000400000000000000000000000000| SET_FLAG
93040b00550000000000000000000000| UNKNOWN_93
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e000400feffffff0000000000000000| KAOMADO
340004000000000000000000c8e21602| MSG_SPEECH
34000400000000000000000024001702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000400000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
e4000900000000000000000000000000| SET_FLAG
91040200000000000000000000000000| ROTATE
e4000600000000000000000000000000| SET_FLAG
2e050400000000000000000000000000| KAOMADO
340004000000000000000000d0421702| MSG_SPEECH
340004000000000000000000e04e1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
e4000900000000000000000000000000| SET_FLAG
e4000600000000000000000000000000| SET_FLAG
3400ffff00000000000000008c661602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000300000000000000000000000000| SET_FLAG
db000400000000000000000000000000| SLEEP
e4000400000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000700000000000000000000000000| SET_FLAG
e4000d00000000000000000000000000| SET_FLAG
e4000e00000000000000000000000000| SET_FLAG
db001400000000000000000000000000| SLEEP
93040b00580000000000000000000000| UNKNOWN_93
db000100000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
db000100000000000000000000000000| SLEEP
e4000900000000000000000000000000| SET_FLAG
db004600000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
e4000d00000000000000000000000000| SET_FLAG
e4000e00000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e0f0300410000000000000000000000| KAOMADO
340003000000000000000000f07a1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
3400ffff0000000000000000246f1602| MSG_SPEECH
3400ffff0000000000000000506e1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
e4000a00000000000000000000000000| SET_FLAG
e4000700000000000000000000000000| SET_FLAG
e4000d00000000000000000000000000| SET_FLAG
e4000e00000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e0e0500000000000000000000000000| KAOMADO
3400050000000000000000001ca41602| MSG_SPEECH
340005000000000000000000a8d81602| MSG_SPEECH
34000500000000000000000074ae1602| MSG_SPEECH
34000500000000000000000050f11602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000400000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e100300410000000000000000000000| KAOMADO
3400030000000000000000006c8f1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
