f600210f0000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d000200000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e4000600000000000000000000000000| SET_FLAG
e8002100000000000000000000000000| EXECUTE
e3000500000000000000000000000000| WAIT_FLAG
2e020100010000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000070e21602| CASE
d1000000000000000000000010d51602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
3400ffff0000000000000000203d1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
48003c00000000000000000000000000| FADE_OUT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
e4000400000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db001e00000000000000000000000000| SLEEP
440000000a0000000000000000000000| PLAY_SONG
2e030300000000000000000000000000| KAOMADO
3400030000000000000000007c861602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e020400000000000000000000000000| KAOMADO
340004000000000000000000c08a1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e050200000000000000000000000000| KAOMADO
2f00020000000000fdffffff00000000| UNKNOWN_2f
3400020000000000000000005c681702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000400000000000000000000000000| SET_FLAG
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db001e00000000000000000000000000| SLEEP
2e0e0100040000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000008781602| CASE
d1000000000000000000000088791602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000900000000000000000000000000| SET_FLAG
2e020400410000000000000000000000| KAOMADO
340004000000000000000000a49c1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
e4000600000000000000000000000000| SET_FLAG
8e0400005b0000000000000000000000| UNKNOWN_8e
db001e00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e0f0200410000000000000000000000| KAOMADO
340002000000000000000000c0951602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e0e0100030000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000030e91602| CASE
d1000000000000000000000070201702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
2e030300410000000000000000000000| KAOMADO
340003000000000000000000288d1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000900000000000000000000000000| SET_FLAG
2e020400410000000000000000000000| KAOMADO
3400040000000000000000004cc11602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
2e0f0200410000000000000000000000| KAOMADO
34000200000000000000000088851602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e0e0100030000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000040d91602| CASE
d0000100000000000000000060751602| CASE
d0000300000000000000000028ac1602| CASE
d0000300000000000000000060751602| CASE
d10000000000000000000000fca11602| DEFAULT
d1000000000000000000000060751602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
db001400000000000000000000000000| SLEEP
2e0f0200000000000000000000000000| KAOMADO
34000200000000000000000040c51602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e020400430000000000000000000000| KAOMADO
340004000000000000000000a8201702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e030300420000000000000000000000| KAOMADO
3400030000000000000000009ccb1602| MSG_SPEECH
340003000000000000000000eccf1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e020400430000000000000000000000| KAOMADO
3400040000000000000000007cc71602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
