f60010120000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070400000000000000000000000000| LOAD
530000001f0000000000000000000000| UNKNOWN_53
e3000900000000000000000000000000| WAIT_FLAG
89240002040000000000000000000000| UNKNOWN_89
e3000900000000000000000000000000| WAIT_FLAG
91040a00030000000000000000000000| ROTATE
e3000900000000000000000000000000| WAIT_FLAG
6b000001260000000000000000000000| MOVETO_GRID
db003c00000000000000000000000000| SLEEP
f1000000000000000000000000000000| REMOVE
