f600d8100000000000000000c0931602| START_THREAD
99000000000000000000000000000000| UNKNOWN_99
db000100000000000000000000000000| SLEEP
e3000400000000000000000000000000| WAIT_FLAG
98000000000000000000000000000000| UNKNOWN_98
89180001000000000000000000000000| UNKNOWN_89
e3000400000000000000000000000000| WAIT_FLAG
89200001000000000000000000000000| UNKNOWN_89
e3000400000000000000000000000000| WAIT_FLAG
89208000040000000000000000000000| UNKNOWN_89
e4000500000000000000000000000000| SET_FLAG
e3000400000000000000000000000000| WAIT_FLAG
f1000000000000000000000000000000| REMOVE
