f60025140000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090300550000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
db001e00000000000000000000000000| SLEEP
4c000000d10100000000000000000000| PLAY_SOUND
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e0d0100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000a0221702| CASE
d0000100000000000000000010eb1602| CASE
d00003000000000000000000b8071702| CASE
d00003000000000000000000fcd71602| CASE
d1000000000000000000000050281702| DEFAULT
d10000000000000000000000a0141702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e020200410000000000000000000000| KAOMADO
340002000000000000000000887c1602| MSG_SPEECH
340002000000000000000000a00e1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
4c000000c70100000000000000000000| PLAY_SOUND
e4000600000000000000000000000000| SET_FLAG
e8002800000000000000000000000000| EXECUTE
db001e00000000000000000000000000| SLEEP
44000000090000000000000000000000| PLAY_SONG
2e1501000c0000000000000000000000| KAOMADO
34000100000000000000000090771602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
34000200000000000000000060e31602| MSG_SPEECH
340002000000000000000000982e1702| MSG_SPEECH
340002000000000000000000fcd11702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
4c000000d50100000000000000000000| PLAY_SOUND
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150100040000000000000000000000| KAOMADO
34000100000000000000000080c21602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150200410000000000000000000000| KAOMADO
34000200000000000000000070eb1602| MSG_SPEECH
3400020000000000000000001c781702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000080961602| CASE
d00001000000000000000000b46d1702| CASE
d10000000000000000000000a0961602| DEFAULT
d1000000000000000000000090b01702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
48007800000000000000000000000000| FADE_OUT
db009600000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db000f00000000000000000000000000| SLEEP
910c0a00010000000000000000000000| ROTATE
db002800000000000000000000000000| SLEEP
2e1501000b0000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d000010000000000000000005ca11702| CASE
d100000000000000000000008c8d1702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
91040b00000000000000000000000000| ROTATE
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000a0eb1602| CASE
d00003000000000000000000e0961602| CASE
d10000000000000000000000e8af1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150200000000000000000000000000| KAOMADO
340002000000000000000000b07b1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150100010000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000094731602| CASE
d10000000000000000000000e09f1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
91040b00010000000000000000000000| ROTATE
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000888a1602| CASE
d100000000000000000000006c781602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000600000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
