f60095140000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070100000000000000000000000000| LOAD
e3000600000000000000000000000000| WAIT_FLAG
e8002800000000000000000000000000| EXECUTE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
e8002600000000000000000000000000| EXECUTE
e3000600000000000000000000000000| WAIT_FLAG
e8002900000000000000000000000000| EXECUTE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
91080100050000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
91040200070000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
91040100050000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
52000000001000000000000000000000| UNKNOWN_52
ef000000000000000000000000000000| END
