f600d0160000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200550000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e3000500000000000000000000000000| WAIT_FLAG
2e020100010000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000060da1602| CASE
d1000000000000000000000028cd1602| DEFAULT
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000a8a31702| CASE
d00001000000000000000000102f1702| CASE
d0000100000000000000000024d71702| CASE
d0000100000000000000000018601702| CASE
d1000000000000000000000050a81702| DEFAULT
d1000000000000000000000064781702| DEFAULT
d100000000000000000000003cb61702| DEFAULT
d1000000000000000000000080ed1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000600000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
