f600f10e000000000000000070801602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090500620000000000000000000000| LOAD
2d090600630000000000000000000000| LOAD
db001e00000000000000000000000000| SLEEP
93040100040000000000000000000000| UNKNOWN_93
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000e4a71602| CASE
d1000000000000000000000068931602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
91040200020000000000000000000000| ROTATE
e4000400000000000000000000000000| SET_FLAG
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
e4000700000000000000000000000000| SET_FLAG
340002000000000000000000b0851602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e030400000000000000000000000000| KAOMADO
340004000000000000000000e89a1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e0f0300000000000000000000000000| KAOMADO
340003000000000000000000fc261702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
6b0000012d0000000000000000000000| MOVETO_GRID
6b0000012b0000000000000000000000| MOVETO_GRID
e3000500000000000000000000000000| WAIT_FLAG
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000014741602| CASE
d10000000000000000000000947c1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e100200000000000000000000000000| KAOMADO
34000200000000000000000040e81602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
6a000001100000000000000000000000| MOVE
91080100010000000000000000000000| ROTATE
e3000500000000000000000000000000| WAIT_FLAG
2e020100040000000000000000000000| KAOMADO
340001000000000000000000f0891602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
e4000800000000000000000000000000| SET_FLAG
340002000000000000000000787c1602| MSG_SPEECH
340002000000000000000000e0a11602| MSG_SPEECH
34000200000000000000000048361702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
34000400000000000000000040f21602| MSG_SPEECH
e4000600000000000000000000000000| SET_FLAG
34000400000000000000000040271702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
3400030000000000000000000c8c1602| MSG_SPEECH
e4000600000000000000000000000000| SET_FLAG
91040200020000000000000000000000| ROTATE
34000300000000000000000024051702| MSG_SPEECH
3400030000000000000000007cf21602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
34000200000000000000000054d01602| MSG_SPEECH
e4000600000000000000000000000000| SET_FLAG
91040100010000000000000000000000| ROTATE
34000200000000000000000034221702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e020200000000000000000000000000| KAOMADO
340002000000000000000000b4a11602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
91040200040000000000000000000000| ROTATE
db003c00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
e4000600000000000000000000000000| SET_FLAG
91040100010000000000000000000000| ROTATE
2e100200000000000000000000000000| KAOMADO
340002000000000000000000c4be1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
db001e00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
e4000300000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
