f6005c0f000000000000000070801602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070100000000000000000000000000| LOAD
4c000000d00100000000000000000000| PLAY_SOUND
e8002800000000000000000000000000| EXECUTE
8e010000000000000000000000000000| UNKNOWN_8e
e3000600000000000000000000000000| WAIT_FLAG
6b0000012c0000000000000000000000| MOVETO_GRID
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
6a000001100000000000000000000000| MOVE
91080200030000000000000000000000| ROTATE
db001400000000000000000000000000| SLEEP
4c000000d50100000000000000000000| PLAY_SOUND
e8002900000000000000000000000000| EXECUTE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
91040100020000000000000000000000| ROTATE
e3000600000000000000000000000000| WAIT_FLAG
91040200030000000000000000000000| ROTATE
e3000600000000000000000000000000| WAIT_FLAG
91040200030000000000000000000000| ROTATE
e3000600000000000000000000000000| WAIT_FLAG
91040200040000000000000000000000| ROTATE
e3000600000000000000000000000000| WAIT_FLAG
91040100030000000000000000000000| ROTATE
e3000600000000000000000000000000| WAIT_FLAG
52000000001000000000000000000000| UNKNOWN_52
ef000000000000000000000000000000| END
