f600980f000000000000000070801602| START_THREAD
54000200000000000000000000000000| SET_ANIM
8b010700000000000000000000000000| FACE_DIR
2d070300000000000000000000000000| LOAD
e3000800000000000000000000000000| WAIT_FLAG
e8002800000000000000000000000000| EXECUTE
91040100060000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
91040a00070000000000000000000000| ROTATE
e3000800000000000000000000000000| WAIT_FLAG
91040a00070000000000000000000000| ROTATE
f0000000000000000000000000000000| CLOSE
