f6006c0500000000000000008c6d1602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200630000000000000000000000| LOAD
2d090400520000000000000000000000| LOAD
e4000400000000000000000000000000| SET_FLAG
db000100000000000000000000000000| SLEEP
6b0000010c0000000000000000000000| MOVETO_GRID
8b1e0400000000000000000000000000| FACE_DIR
44000000060000000000000000000000| PLAY_SONG
340001000000000000000000dc821602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
34000100000000000000000074a31602| MSG_SPEECH
3400010000000000000000009cb31602| MSG_SPEECH
34000100000000000000000074a91602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e030300040000000000000000000000| KAOMADO
340003000000000000000000e0651602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
3400010000000000000000006c681602| MSG_SPEECH
3400010000000000000000005cba1602| MSG_SPEECH
34000100000000000000000014af1602| MSG_SPEECH
3400010000000000000000003c7a1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
340003000000000000000000bc651602| MSG_SPEECH
340003000000000000000000a49f1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
340001000000000000000000f4711602| MSG_SPEECH
3400010000000000000000003c8a1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e030300040000000000000000000000| KAOMADO
cf022600030000000000000000000000| VARY_MSG
d00001000000000000000000dca81602| CASE
d100000000000000000000000ca21602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
340001000000000000000000ec651602| MSG_SPEECH
340001000000000000000000b4871602| MSG_SPEECH
34000100000000000000000084791602| MSG_SPEECH
340001000000000000000000e8871602| MSG_SPEECH
340001000000000000000000b0791602| MSG_SPEECH
3400010000000000000000000c6e1602| MSG_SPEECH
340001000000000000000000908d1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
4c000000d20100000000000000000000| PLAY_SOUND
e8002b00000000000000000000000000| EXECUTE
2e0303000c0000000000000000000000| KAOMADO
340003000000000000000000bc721602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001400000000000000000000000000| SLEEP
e4000800000000000000000000000000| SET_FLAG
91040100020000000000000000000000| ROTATE
4c000000d60100000000000000000000| PLAY_SOUND
e8002a00000000000000000000000000| EXECUTE
db003c00000000000000000000000000| SLEEP
91040200040000000000000000000000| ROTATE
3400010000000000000000006c831602| MSG_SPEECH
340001000000000000000000fc7a1602| MSG_SPEECH
340001000000000000000000b4701602| MSG_SPEECH
340001000000000000000000d06f1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
48007800000000000000000000000000| FADE_OUT
db005000000000000000000000000000| SLEEP
2e030300050000000000000000000000| KAOMADO
340003000000000000000000686c1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
340001000000000000000000d0ac1602| MSG_SPEECH
340001000000000000000000748a1602| MSG_SPEECH
3400010000000000000000002ca01602| MSG_SPEECH
340001000000000000000000b0861602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
2e020100010000000000000000000000| KAOMADO
34000100000000000000000080a11602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000400000000000000000000000000| SET_FLAG
44000000080000000000000000000000| PLAY_SONG
52000000001000000000000000000000| UNKNOWN_52
e4000800000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
