f600c90500000000000000008c6d1602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070300000000000000000000000000| LOAD
6b0000010d0000000000000000000000| MOVETO_GRID
8b000400000000000000000000000000| FACE_DIR
e4000300000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
4c000000d20100000000000000000000| PLAY_SOUND
e8002b00000000000000000000000000| EXECUTE
e3000800000000000000000000000000| WAIT_FLAG
91040200060000000000000000000000| ROTATE
4c000000d60100000000000000000000| PLAY_SOUND
e8002a00000000000000000000000000| EXECUTE
db003c00000000000000000000000000| SLEEP
91040100040000000000000000000000| ROTATE
e3000800000000000000000000000000| WAIT_FLAG
52000000001000000000000000000000| UNKNOWN_52
ef000000000000000000000000000000| END
