f6001c10000000000000000070801602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
e3000500000000000000000000000000| WAIT_FLAG
db000100000000000000000000000000| SLEEP
2e030100000000000000000000000000| KAOMADO
2e030100040000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000b8711602| CASE
d10000000000000000000000706e1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
91040200020000000000000000000000| ROTATE
db000a00000000000000000000000000| SLEEP
2e030100050000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000024091702| CASE
d10000000000000000000000f0301702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db002d00000000000000000000000000| SLEEP
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
