f60044080000000000000000ac721602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090100220000000000000000000000| LOAD
2d090200520000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
db001e00000000000000000000000000| SLEEP
db001e00000000000000000000000000| SLEEP
330000000000000000000000ac6b1602| MSG_THOUGHT
330000000000000000000000e8711602| MSG_THOUGHT
330000000000000000000000ec871602| MSG_THOUGHT
330000000000000000000000c4931602| MSG_THOUGHT
33000000000000000000000048821602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
db003c00000000000000000000000000| SLEEP
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
