f600351a0000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200520000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e020100090000000000000000000000| KAOMADO
340001000000000000000000e8741602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
2e020100040000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000b0f01602| CASE
d10000000000000000000000dc031702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
2e020100010000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000028241702| CASE
d1000000000000000000000074341702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
4c000000d10100000000000000000000| PLAY_SOUND
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e020100000000000000000000000000| KAOMADO
34000100000000000000000040711602| MSG_SPEECH
2e150100040000000000000000000000| KAOMADO
340001000000000000000000dc971702| MSG_SPEECH
34000100000000000000000018a41602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000600000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
