f6005b1a0000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070100000000000000000000000000| LOAD
59000000600000000000000000000000| UNKNOWN_59
e3000600000000000000000000000000| WAIT_FLAG
db000f00000000000000000000000000| SLEEP
6a00000100000000a0ffffff00000000| MOVE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
e8002800000000000000000000000000| EXECUTE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
52000000001000000000000000000000| UNKNOWN_52
ef000000000000000000000000000000| END
