f6003d10000000000000000070801602| START_THREAD
08000000010000000000000000000000| UNKNOWN_08
0c00ffff000000000000000000000000| LOAD_MAP
47000000000000000000000000000000| UNKNOWN_47
e4000400000000000000000000000000| SET_FLAG
22001e00000000000000000000000000| UNKNOWN_22
db007800000000000000000000000000| SLEEP
23001e00000000000000000000000000| UNKNOWN_23
e5000400000000000000000000000000| UNKNOWN_e5
e3000300000000000000000000000000| WAIT_FLAG
22001e00000000000000000000000000| UNKNOWN_22
db007800000000000000000000000000| SLEEP
23001e00000000000000000000000000| UNKNOWN_23
e5000400000000000000000000000000| UNKNOWN_e5
e3000300000000000000000000000000| WAIT_FLAG
22001e00000000000000000000000000| UNKNOWN_22
e4000500000000000000000000000000| SET_FLAG
e4000600000000000000000000000000| SET_FLAG
e3000300000000000000000000000000| WAIT_FLAG
23011e00000000000000000000000000| UNKNOWN_23
ef000000000000000000000000000000| END
