f60015000000000000000000b0651602| START_THREAD
44000000180000000000000000000000| PLAY_SONG
23010000000000000000000000000000| UNKNOWN_23
26010000000000000000000000000000| UNKNOWN_26
08000000a40000000000000000000000| UNKNOWN_08
2d090000210000000000000000000000| LOAD
39001e00000000000000000098651602| MSG_FLOATY
39001e0000000000000000008c661602| MSG_FLOATY
39001e000000000000000000d0651602| MSG_FLOATY
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
0c00ffff000000000000000000000000| LOAD_MAP
22011e00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
23011e00000000000000000000000000| UNKNOWN_23
ef000000000000000000000000000000| END
