f6004b00000000000000000054661602| START_THREAD
08000000a60000000000000000000000| UNKNOWN_08
0c00ffff000000000000000000000000| LOAD_MAP
22011e00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
3b390100000000000000000000000000| UNKNOWN_3b
23011e00000000000000000000000000| UNKNOWN_23
3400ffff000000000000000070681602| MSG_SPEECH
3400ffff000000000000000008681602| MSG_SPEECH
3400ffff0000000000000000e0661602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000f00000000000000000000000000| SLEEP
3400ffff000000000000000008671602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000f00000000000000000000000000| SLEEP
3400ffff0000000000000000a4681602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
48005a00000000000000000000000000| FADE_OUT
db007800000000000000000000000000| SLEEP
3b390000000000000000000000000000| UNKNOWN_3b
ef000000000000000000000000000000| END
