f6002400000000000000000014671602| START_THREAD
08000000a70000000000000000000000| UNKNOWN_08
0c00ffff000000000000000000000000| LOAD_MAP
44000000180000000000000000000000| PLAY_SONG
22011e00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
23011e00000000000000000000000000| UNKNOWN_23
26010000000000000000000000000000| UNKNOWN_26
2d090000210000000000000000000000| LOAD
39001e000000000000000000646f1602| MSG_FLOATY
39001e000000000000000000b46b1602| MSG_FLOATY
39001e00000000000000000094651602| MSG_FLOATY
39001e000000000000000000146c1602| MSG_FLOATY
39001e00000000000000000034661602| MSG_FLOATY
39001e00000000000000000050661602| MSG_FLOATY
39001e00000000000000000044751602| MSG_FLOATY
39001e000000000000000000e46b1602| MSG_FLOATY
48007800000000000000000000000000| FADE_OUT
e0001800000000000000000000000000| UNKNOWN_e0
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
db003c00000000000000000000000000| SLEEP
ef000000000000000000000000000000| END
