f6009e00000000000000000044671602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
e3000500000000000000000000000000| WAIT_FLAG
2e020100040000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000c46d1602| CASE
d1000000000000000000000044721602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
4c000000000000000000000000000000| PLAY_SOUND
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000b0731602| CASE
d1000000000000000000000088721602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000c06f1602| CASE
d0000100000000000000000040751602| CASE
d10000000000000000000000486f1602| DEFAULT
d1000000000000000000000098751602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
91040200060000000000000000000000| ROTATE
db000a00000000000000000000000000| SLEEP
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
