f6006c010000000000000000e8671602| START_THREAD
54001e00000000000000000000000000| SET_ANIM
2d070200000000000000000000000000| LOAD
e3000700000000000000000000000000| WAIT_FLAG
54000008000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
54000003000000000000000000000000| SET_ANIM
54001700000000000000000000000000| SET_ANIM
db002e00000000000000000000000000| SLEEP
4c000000db0100000000000000000000| PLAY_SOUND
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000700000000000000000000000000| WAIT_FLAG
54001800000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000700000000000000000000000000| WAIT_FLAG
4c000000db0100000000000000000000| PLAY_SOUND
54001900000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000700000000000000000000000000| WAIT_FLAG
54001900000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000700000000000000000000000000| WAIT_FLAG
54001900000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000700000000000000000000000000| WAIT_FLAG
54001900000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000700000000000000000000000000| WAIT_FLAG
4c000000d10100000000000000000000| PLAY_SOUND
e8002800000000000000000000000000| EXECUTE
e4000500000000000000000000000000| SET_FLAG
e3000700000000000000000000000000| WAIT_FLAG
54001800000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000700000000000000000000000000| WAIT_FLAG
4c000000db0100000000000000000000| PLAY_SOUND
54001900000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000700000000000000000000000000| WAIT_FLAG
54001800000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
54000500000000000000000000000000| SET_ANIM
4c000000db0100000000000000000000| PLAY_SOUND
db002000000000000000000000000000| SLEEP
70000001080000000000000000000000| UNKNOWN_70
db000800000000000000000000000000| SLEEP
4c000000cb0100000000000000000000| PLAY_SOUND
70000004800000000000000000000000| UNKNOWN_70
e4000500000000000000000000000000| SET_FLAG
f1000000000000000000000000000000| REMOVE
