f600a9010000000000000000e8671602| START_THREAD
2d070300000000000000000000000000| LOAD
60010000a00000000000000000000000| UNKNOWN_60
54001600000000000000000000000000| SET_ANIM
70000008000000000000000000000000| UNKNOWN_70
4c000000f90100000000000000000000| PLAY_SOUND
54001700000000000000000000000000| SET_ANIM
db002000000000000000000000000000| SLEEP
54000200000000000000000000000000| SET_ANIM
91080200040000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
91040100000000000000000000000000| ROTATE
e3000800000000000000000000000000| WAIT_FLAG
91080100040000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
91040100000000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
91040200010000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
f0000000000000000000000000000000| CLOSE
