f60093000000000000000000d8671602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200520000000000000000000000| LOAD
2d090300630000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
db001e00000000000000000000000000| SLEEP
2e020100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000094691602| CASE
d0000100000000000000000020671602| CASE
d00001000000000000000000e06c1602| CASE
d10000000000000000000000786b1602| DEFAULT
d1000000000000000000000020671602| DEFAULT
d1000000000000000000000004711602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000080731602| CASE
d1000000000000000000000094791602| DEFAULT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000286c1602| CASE
d1000000000000000000000024691602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150100080000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000ac661602| CASE
d000010000000000000000002c7a1602| CASE
d000010000000000000000000c6a1602| CASE
d10000000000000000000000ac661602| DEFAULT
d100000000000000000000001c7b1602| DEFAULT
d100000000000000000000000c6a1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
2e150100010000000000000000000000| KAOMADO
d800ffff010000002600000000000000| VARY_QUESTION
d00001000000000000000000e0771602| CASE
d10000000000000000000000bc7b1602| DEFAULT
d9000200000000000000000068671602| OPTION
d9000200000000000000000068671602| OPTION
f4000200000000000000000000000000| LABEL
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000050661602| CASE
d00001000000000000000000e0711602| CASE
d0000100000000000000000080761602| CASE
d0000100000000000000000028781602| CASE
d000010000000000000000004c6b1602| CASE
d1000000000000000000000084661602| DEFAULT
d10000000000000000000000d0701602| DEFAULT
d1000000000000000000000008771602| DEFAULT
d1000000000000000000000000731602| DEFAULT
d10000000000000000000000546c1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
2e150100000000000000000000000000| KAOMADO
d500ffff0100000000000000c0731602| QUESTION
d90004000000000000000000d8661602| OPTION
d90004000000000000000000bc671602| OPTION
f4000400000000000000000000000000| LABEL
2e150100000000000000000000000000| KAOMADO
340001000000000000000000e0791602| MSG_SPEECH
e4000600000000000000000000000000| SET_FLAG
2e150100040000000000000000000000| KAOMADO
340001000000000000000000106d1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000c4761602| CASE
d00001000000000000000000f0661602| CASE
d0000100000000000000000018721602| CASE
d000010000000000000000006c691602| CASE
d00001000000000000000000107c1602| CASE
d0000300000000000000000080741602| CASE
d00003000000000000000000c0661602| CASE
d0000300000000000000000070711602| CASE
d00003000000000000000000346a1602| CASE
d0000300000000000000000050771602| CASE
d1000000000000000000000040731602| DEFAULT
d10000000000000000000000f0661602| DEFAULT
d10000000000000000000000a8711602| DEFAULT
d100000000000000000000006c691602| DEFAULT
d10000000000000000000000b8781602| DEFAULT
2e150100010000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000098771602| CASE
d0000300000000000000000088721602| CASE
d10000000000000000000000c0741602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150100000000000000000000000000| KAOMADO
340001000000000000000000c4721602| MSG_SPEECH
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000000691602| CASE
d10000000000000000000000f8671602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
54000500000000000000000000000000| SET_ANIM
e4000300000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
