f60008010000000000000000d8671602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070100000000000000000000000000| LOAD
e3000600000000000000000000000000| WAIT_FLAG
560000005d0000000000000000000000| UNKNOWN_56
db006400000000000000000000000000| SLEEP
56000000000000000000000000000000| UNKNOWN_56
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
91040200030000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
91040100020000000000000000000000| ROTATE
e8002700000000000000000000000000| EXECUTE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
4c000000d50100000000000000000000| PLAY_SOUND
e8002900000000000000000000000000| EXECUTE
e3000600000000000000000000000000| WAIT_FLAG
91040200030000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
91040100020000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
f0000000000000000000000000000000| CLOSE
