f60045010000000000000000d8671602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
db000100000000000000000000000000| SLEEP
8e010000220000000000000000000000| UNKNOWN_8e
d801ffff010000002600000000000000| VARY_QUESTION
d0000100000000000000000058681602| CASE
d10000000000000000000000a0671602| DEFAULT
d900020000000000000000006c651602| OPTION
d9000300000000000000000060651602| OPTION
f4000300000000000000000000000000| LABEL
34000100000000000000000098661602| MSG_SPEECH
340001000000000000000000e4691602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
0c00ffff000000000000000000000000| LOAD_MAP
e9000000000000000000000000000000| MSG_END
f4000200000000000000000000000000| LABEL
d5010000010000000000000084671602| QUESTION
d9000500000000000000000084651602| OPTION
d9000600000000000000000078651602| OPTION
e7000300000000000000000000000000| GOTO_LABEL
f4000500000000000000000000000000| LABEL
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000018681602| CASE
d00001000000000000000000806c1602| CASE
d1000000000000000000000070661602| DEFAULT
d10000000000000000000000846a1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
c8000000220000000000000000000000| UNKNOWN_c8
cc000700040000000000000000000000| TEST_EQUALS
cc000700030000000000000000000000| TEST_EQUALS
cc000700050000000000000000000000| TEST_EQUALS
cc000700020000000000000000000000| TEST_EQUALS
e4000600000000000000000000000000| SET_FLAG
48007800000000000000000000000000| FADE_OUT
23005000000000000000000000000000| UNKNOWN_23
530000001f0000000000000000000000| UNKNOWN_53
86000001000000000000000000000000| MOVE_CAMERA_TO_WAYPOINT
e7000800000000000000000000000000| GOTO_LABEL
f4000700000000000000000000000000| LABEL
e4000600000000000000000000000000| SET_FLAG
48007800000000000000000000000000| FADE_OUT
23005000000000000000000000000000| UNKNOWN_23
db000f00000000000000000000000000| SLEEP
530000001f0000000000000000000000| UNKNOWN_53
86000001000000000000000000000000| MOVE_CAMERA_TO_WAYPOINT
f4000800000000000000000000000000| LABEL
520000001f0000000000000000000000| UNKNOWN_52
07001e000f0000000000000000000000| UNKNOWN_07
cc000300ffffffff0000000000000000| TEST_EQUALS
f0000000000000000000000000000000| CLOSE
