f60080020000000000000000006a1602| START_THREAD
08000000cb0000000000000000000000| UNKNOWN_08
0c00ffff000000000000000000000000| LOAD_MAP
e3000300000000000000000000000000| WAIT_FLAG
3b390100000000000000000000000000| UNKNOWN_3b
23013c00000000000000000000000000| UNKNOWN_23
48003c00000000000000000000000000| FADE_OUT
db005a00000000000000000000000000| SLEEP
26010000000000000000000000000000| UNKNOWN_26
2d090000210000000000000000000000| LOAD
2d090100220000000000000000000000| LOAD
2d090200580000000000000000000000| LOAD
2d090300670000000000000000000000| LOAD
39001e00000000000000000044661602| MSG_FLOATY
39001e000000000000000000a4811602| MSG_FLOATY
39001e00000000000000000044781602| MSG_FLOATY
39001e00000000000000000090731602| MSG_FLOATY
39001e0000000000000000004c751602| MSG_FLOATY
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
db007800000000000000000000000000| SLEEP
3b390000000000000000000000000000| UNKNOWN_3b
ef000000000000000000000000000000| END
