f600e115000000000000000070801602| START_THREAD
47000000000000000000000000000000| UNKNOWN_47
23010000000000000000000000000000| UNKNOWN_23
26010000000000000000000000000000| UNKNOWN_26
08000000010000000000000000000000| UNKNOWN_08
39001e0000000000000000008ca71602| MSG_FLOATY
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
0c00ffff000000000000000000000000| LOAD_MAP
22011e00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
48003c00000000000000000000000000| FADE_OUT
23013c00000000000000000000000000| UNKNOWN_23
db003c00000000000000000000000000| SLEEP
ef000000000000000000000000000000| END
