f600bb080000000000000000ac721602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200520000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
db001e00000000000000000000000000| SLEEP
4c000000d20100000000000000000000| PLAY_SOUND
330000000000000000000000d8821602| MSG_THOUGHT
2e020000040000000000000000000000| KAOMADO
330000000000000000000000fc991602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
