f6008d200000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200520000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
db001e00000000000000000000000000| SLEEP
2e020100010000000000000000000000| KAOMADO
340001000000000000000000587c1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
4c000000d40100000000000000000000| PLAY_SOUND
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150100050000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000008d41602| CASE
d1000000000000000000000010041702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
4c000000cf0100000000000000000000| PLAY_SOUND
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000b4c31602| CASE
d00001000000000000000000a47a1702| CASE
d0000100000000000000000060dd1602| CASE
d000010000000000000000002c931702| CASE
d000010000000000000000007c931702| CASE
d0000100000000000000000000e91602| CASE
d0000100000000000000000048631702| CASE
d00003000000000000000000b4c31602| CASE
d00003000000000000000000aca21702| CASE
d0000300000000000000000050e71602| CASE
d00003000000000000000000d47d1702| CASE
d000030000000000000000006c431702| CASE
d0000300000000000000000020181702| CASE
d0000300000000000000000058181702| CASE
d1000000000000000000000070d61602| DEFAULT
d1000000000000000000000000a31702| DEFAULT
d1000000000000000000000060dd1602| DEFAULT
d10000000000000000000000e85c1702| DEFAULT
d1000000000000000000000090361702| DEFAULT
d10000000000000000000000b82a1702| DEFAULT
d10000000000000000000000bc661702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
2e150100090000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000a4a51602| CASE
d00001000000000000000000ac041702| CASE
d00003000000000000000000a40f1702| CASE
d0000300000000000000000000e01602| CASE
d1000000000000000000000048c61602| DEFAULT
d1000000000000000000000000e01602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000600000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
