f60068270000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
530000001f0000000000000000000000| UNKNOWN_53
2d010200000000000000000000000000| LOAD
e3000700000000000000000000000000| WAIT_FLAG
6b0000014d0000000000000000000000| MOVETO_GRID
6b0000014e0000000000000000000000| MOVETO_GRID
91080a00060000000000000000000000| ROTATE
e3000700000000000000000000000000| WAIT_FLAG
2d070200000000000000000000000000| LOAD
e4000500000000000000000000000000| SET_FLAG
e3000700000000000000000000000000| WAIT_FLAG
db000500000000000000000000000000| SLEEP
54001300000000000000000000000000| SET_ANIM
db001e00000000000000000000000000| SLEEP
54000200000000000000000000000000| SET_ANIM
e3000700000000000000000000000000| WAIT_FLAG
6b000001520000000000000000000000| MOVETO_GRID
e4000800000000000000000000000000| SET_FLAG
e4000600000000000000000000000000| SET_FLAG
6b0000014f0000000000000000000000| MOVETO_GRID
f1000000000000000000000000000000| REMOVE
