f60081270000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
530000001f0000000000000000000000| UNKNOWN_53
2d070300000000000000000000000000| LOAD
e3000800000000000000000000000000| WAIT_FLAG
6b000001500000000000000000000000| MOVETO_GRID
91080a00070000000000000000000000| ROTATE
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
54001300000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
54000200000000000000000000000000| SET_ANIM
e3000800000000000000000000000000| WAIT_FLAG
54001300000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
54000200000000000000000000000000| SET_ANIM
e3000800000000000000000000000000| WAIT_FLAG
54001300000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
54000200000000000000000000000000| SET_ANIM
e3000800000000000000000000000000| WAIT_FLAG
54001300000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
54000200000000000000000000000000| SET_ANIM
e3000800000000000000000000000000| WAIT_FLAG
54000200000000000000000000000000| SET_ANIM
6b000001520000000000000000000000| MOVETO_GRID
6b000001510000000000000000000000| MOVETO_GRID
e4000500000000000000000000000000| SET_FLAG
f1000000000000000000000000000000| REMOVE
