f6000d030000000000000000946b1602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
db001e00000000000000000000000000| SLEEP
2e020000000000000000000000000000| KAOMADO
2e030100000000000000000000000000| KAOMADO
2e0f0200000000000000000000000000| KAOMADO
2e0e0300000000000000000000000000| KAOMADO
34000100000000000000000090ab1602| MSG_SPEECH
340001000000000000000000146c1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
91040100030000000000000000000000| ROTATE
e4000700000000000000000000000000| SET_FLAG
34000200000000000000000060681602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
91040200040000000000000000000000| ROTATE
e4000600000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150300410000000000000000000000| KAOMADO
340003000000000000000000ec661602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000800000000000000000000000000| SET_FLAG
db000a00000000000000000000000000| SLEEP
91040100030000000000000000000000| ROTATE
e4000600000000000000000000000000| SET_FLAG
34000200000000000000000088981602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
91040200040000000000000000000000| ROTATE
e4000600000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
340003000000000000000000ec661602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000800000000000000000000000000| SET_FLAG
db000a00000000000000000000000000| SLEEP
91040100030000000000000000000000| ROTATE
e4000700000000000000000000000000| SET_FLAG
3400020000000000000000005c751602| MSG_SPEECH
34000200000000000000000084891602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
91040200040000000000000000000000| ROTATE
e4000600000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
340003000000000000000000ec661602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000800000000000000000000000000| SET_FLAG
db000a00000000000000000000000000| SLEEP
2e150100040000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000206b1602| CASE
d10000000000000000000000146d1602| DEFAULT
91040100020000000000000000000000| ROTATE
e4000600000000000000000000000000| SET_FLAG
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000c8681602| CASE
d10000000000000000000000c8681602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
340002000000000000000000706f1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001400000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
91040200040000000000000000000000| ROTATE
e4000800000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
340003000000000000000000ec661602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000800000000000000000000000000| SET_FLAG
db001e00000000000000000000000000| SLEEP
3200ffff0000000000000000cc981602| MSG_PLAIN
47000000000000000000000000000000| UNKNOWN_47
49000000cd0000000000000000000000| UNKNOWN_49
3200ffff00000000000000000c8b1602| MSG_PLAIN
e100cd00000000000000000000000000| UNKNOWN_e1
30000000000000000000000000000000| MSG_EXIT
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
