f6008d030000000000000000946b1602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070300000000000000000000000000| LOAD
e3000800000000000000000000000000| WAIT_FLAG
54001300000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
54000200000000000000000000000000| SET_ANIM
e3000800000000000000000000000000| WAIT_FLAG
54001300000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
54000200000000000000000000000000| SET_ANIM
e3000800000000000000000000000000| WAIT_FLAG
54001300000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
54000200000000000000000000000000| SET_ANIM
e3000800000000000000000000000000| WAIT_FLAG
54001300000000000000000000000000| SET_ANIM
dd000000000000000000000000000000| UNKNOWN_dd
e4000500000000000000000000000000| SET_FLAG
e3000800000000000000000000000000| WAIT_FLAG
54000200000000000000000000000000| SET_ANIM
f0000000000000000000000000000000| CLOSE
