f600a12b0000000000000000c0931602| START_THREAD
48003c00000000000000000000000000| FADE_OUT
23010000000000000000000000000000| UNKNOWN_23
26010000000000000000000000000000| UNKNOWN_26
08000000090000000000000000000000| UNKNOWN_08
39001e000000000000000000406c1602| MSG_FLOATY
39001e000000000000000000b8231702| MSG_FLOATY
39001e000000000000000000607a1602| MSG_FLOATY
39001e000000000000000000c8811602| MSG_FLOATY
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
0c00ffff000000000000000000000000| LOAD_MAP
45003c00010000000000000000000000| FADE_IN
22011e00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
48003c00000000000000000000000000| FADE_OUT
23013c00000000000000000000000000| UNKNOWN_23
db001e00000000000000000000000000| SLEEP
ef000000000000000000000000000000| END
