f600b22d0000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
db000100000000000000000000000000| SLEEP
2e0c0000000000000000000000000000| KAOMADO
2e030100000000000000000000000000| KAOMADO
2e020200000000000000000000000000| KAOMADO
b3011d00000000000000000000000000| UNKNOWN_b3
e5000600000000000000000000000000| UNKNOWN_e5
f4000100000000000000000000000000| LABEL
e5000700000000000000000000000000| UNKNOWN_e5
e5000800000000000000000000000000| UNKNOWN_e5
e5000900000000000000000000000000| UNKNOWN_e5
2e0b0200000000000000000000000000| KAOMADO
3400020000000000000000003cca1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e0e0200000000000000000000000000| KAOMADO
2f000200010000000000000000000000| UNKNOWN_2f
34000200000000000000000020d71602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e0b0200000000000000000000000000| KAOMADO
d501ffff020000000000000098161702| QUESTION
d90003000000000000000000d4661602| OPTION
d90004000000000000000000f0711602| OPTION
f4000400000000000000000000000000| LABEL
30000000000000000000000000000000| MSG_EXIT
0c02ffff000000000000000000000000| LOAD_MAP
db000200000000000000000000000000| SLEEP
e3000500000000000000000000000000| WAIT_FLAG
db001400000000000000000000000000| SLEEP
2e0b0200000000000000000000000000| KAOMADO
340002000000000000000000b8b71602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e0e0200000000000000000000000000| KAOMADO
2f000200010000000000000000000000| UNKNOWN_2f
340002000000000000000000d08d1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e0b0200000000000000000000000000| KAOMADO
2f000200feffffff0000000000000000| UNKNOWN_2f
340002000000000000000000d87d1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
48003c00000000000000000000000000| FADE_OUT
23011e00000000000000000000000000| UNKNOWN_23
26010000000000000000000000000000| UNKNOWN_26
39001e000000000000000000d0e51602| MSG_FLOATY
39001e00000000000000000080711602| MSG_FLOATY
39001e000000000000000000d0861602| MSG_FLOATY
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
e5000700000000000000000000000000| UNKNOWN_e5
e5000800000000000000000000000000| UNKNOWN_e5
e5000900000000000000000000000000| UNKNOWN_e5
22002800000000000000000000000000| UNKNOWN_22
e3000500000000000000000000000000| WAIT_FLAG
2e0b0200000000000000000000000000| KAOMADO
34000200000000000000000054771602| MSG_SPEECH
34000200000000000000000034741602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
23011e00000000000000000000000000| UNKNOWN_23
98000000000000000000000000000000| UNKNOWN_98
0c00ffff000000000000000000000000| LOAD_MAP
22011e00000000000000000000000000| UNKNOWN_22
45001e00010000000000000000000000| FADE_IN
df000000000000000000000000000000| UNKNOWN_df
db001e00000000000000000000000000| SLEEP
52000000001000000000000000000000| UNKNOWN_52
e4000600000000000000000000000000| SET_FLAG
e9000000000000000000000000000000| MSG_END
f4000300000000000000000000000000| LABEL
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
3200ffff0000000000000000ac651702| MSG_PLAIN
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
0c03ffff000000000000000000000000| LOAD_MAP
db000100000000000000000000000000| SLEEP
2e0c0000000000000000000000000000| KAOMADO
2e030100000000000000000000000000| KAOMADO
2e020200000000000000000000000000| KAOMADO
e3000500000000000000000000000000| WAIT_FLAG
2e0b0200010000000000000000000000| KAOMADO
340002000000000000000000ec861602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
db000100000000000000000000000000| SLEEP
e5000700000000000000000000000000| UNKNOWN_e5
e5000800000000000000000000000000| UNKNOWN_e5
e5000900000000000000000000000000| UNKNOWN_e5
2e150200000000000000000000000000| KAOMADO
340002000000000000000000c43e1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e0e0200000000000000000000000000| KAOMADO
2f000200010000000000000000000000| UNKNOWN_2f
340002000000000000000000ac411702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
db000100000000000000000000000000| SLEEP
e5000700000000000000000000000000| UNKNOWN_e5
e5000800000000000000000000000000| UNKNOWN_e5
e5000900000000000000000000000000| UNKNOWN_e5
2e0b0200000000000000000000000000| KAOMADO
3400020000000000000000008c3a1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e0b0200000000000000000000000000| KAOMADO
