f600e5080000000000000000ac721602| START_THREAD
e8003500000000000000000000000000| EXECUTE
2d070000000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e8002000000000000000000000000000| EXECUTE
e8002100000000000000000000000000| EXECUTE
db000a00000000000000000000000000| SLEEP
4c000000c50100000000000000000000| PLAY_SOUND
97000200010000000300000000000000| UNKNOWN_97
db001e00000000000000000000000000| SLEEP
e8002b00000000000000000000000000| EXECUTE
2e0200000c0000000000000000000000| KAOMADO
330000000000000000000000d0741602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
db007800000000000000000000000000| SLEEP
4e003c00c50100000000000000000000| UNKNOWN_4e
97000000000000000000000000000000| UNKNOWN_97
db003c00000000000000000000000000| SLEEP
e8002100000000000000000000000000| EXECUTE
2e150000000000000000000000000000| KAOMADO
330000000000000000000000cc7f1602| MSG_THOUGHT
3300000000000000000000004c8c1602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
44000000010000000000000000000000| PLAY_SONG
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
