f60076210000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200680000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
db001e00000000000000000000000000| SLEEP
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000ec431702| CASE
d00001000000000000000000b83b1702| CASE
d0000100000000000000000090181702| CASE
d00003000000000000000000ec471702| CASE
d00003000000000000000000fc0b1702| CASE
d00003000000000000000000f03f1702| CASE
d100000000000000000000005c901702| DEFAULT
d10000000000000000000000fc0b1702| DEFAULT
d10000000000000000000000602b1702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000600000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
