f60004090000000000000000ac721602| START_THREAD
47000000000000000000000000000000| UNKNOWN_47
23010000000000000000000000000000| UNKNOWN_23
26010000000000000000000000000000| UNKNOWN_26
080000000c0000000000000000000000| UNKNOWN_08
39001e000000000000000000346c1602| MSG_FLOATY
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
0c00ffff000000000000000000000000| LOAD_MAP
22013c00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
23011e00000000000000000000000000| UNKNOWN_23
ef000000000000000000000000000000| END
