f60017090000000000000000ac721602| START_THREAD
e8003500000000000000000000000000| EXECUTE
2d070000000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e8002000000000000000000000000000| EXECUTE
e8002100000000000000000000000000| EXECUTE
db000a00000000000000000000000000| SLEEP
4c000000c50100000000000000000000| PLAY_SOUND
97000200010000000300000000000000| UNKNOWN_97
db001e00000000000000000000000000| SLEEP
e8002b00000000000000000000000000| EXECUTE
2e0200000c0000000000000000000000| KAOMADO
33000000000000000000000058721602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
db007800000000000000000000000000| SLEEP
4e003c00c50100000000000000000000| UNKNOWN_4e
97000000000000000000000000000000| UNKNOWN_97
db003c00000000000000000000000000| SLEEP
2e150000000000000000000000000000| KAOMADO
330000000000000000000000f07e1602| MSG_THOUGHT
330000000000000000000000b8771602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
0c01ffff000000000000000000000000| LOAD_MAP
e3000500000000000000000000000000| WAIT_FLAG
db001e00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
4c000000d10100000000000000000000| PLAY_SOUND
e8002800000000000000000000000000| EXECUTE
2e0201000c0000000000000000000000| KAOMADO
34000100000000000000000088871602| MSG_SPEECH
34000100000000000000000008831602| MSG_SPEECH
34000100000000000000000060751602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
db000500000000000000000000000000| SLEEP
89500002000000000000000000000000| UNKNOWN_89
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
