f6004a220000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200580000000000000000000000| LOAD
2d090300520000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
db001e00000000000000000000000000| SLEEP
2e020100010000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000060da1602| CASE
d1000000000000000000000028cd1602| DEFAULT
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000082c1702| CASE
d10000000000000000000000ec531702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
48009600000000000000000000000000| FADE_OUT
e4000600000000000000000000000000| SET_FLAG
e4000400000000000000000000000000| SET_FLAG
db000a00000000000000000000000000| SLEEP
89400001000000000000000000000000| UNKNOWN_89
db002d00000000000000000000000000| SLEEP
2e0f0000000000000000000000000000| KAOMADO
3300000000000000000000001c781602| MSG_THOUGHT
3300000000000000000000006c441702| MSG_THOUGHT
330000000000000000000000300c1702| MSG_THOUGHT
330000000000000000000000581f1702| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
db000f00000000000000000000000000| SLEEP
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000f4661602| CASE
d100000000000000000000008c671602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
e4000400000000000000000000000000| SET_FLAG
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db000f00000000000000000000000000| SLEEP
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000d0001702| CASE
d1000000000000000000000068ca1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
4c000000cf0100000000000000000000| PLAY_SOUND
e8002800000000000000000000000000| EXECUTE
44000000010000000000000000000000| PLAY_SONG
89480001000000000000000000000000| UNKNOWN_89
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000600000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
