f600130000000000000000002c661602| START_THREAD
08000000ce0000000000000000000000| UNKNOWN_08
0c00ffff000000000000000000000000| LOAD_MAP
44000000720000000000000000000000| PLAY_SONG
22011e00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
4e003c00c50100000000000000000000| UNKNOWN_4e
48003c00000000000000000000000000| FADE_OUT
3b390100000000000000000000000000| UNKNOWN_3b
23013c00000000000000000000000000| UNKNOWN_23
97000000000000000000000000000000| UNKNOWN_97
db005a00000000000000000000000000| SLEEP
26010000000000000000000000000000| UNKNOWN_26
2d090000010000000000000000000000| LOAD
2d090100580000000000000000000000| LOAD
2d090200670000000000000000000000| LOAD
39001e0000000000000000005c671602| MSG_FLOATY
39001e00000000000000000098671602| MSG_FLOATY
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
db007800000000000000000000000000| SLEEP
3b390000000000000000000000000000| UNKNOWN_3b
ef000000000000000000000000000000| END
