f6004a2a000000000000000070801602| START_THREAD
47000000000000000000000000000000| UNKNOWN_47
23010000000000000000000000000000| UNKNOWN_23
26010000000000000000000000000000| UNKNOWN_26
08000000010000000000000000000000| UNKNOWN_08
39001e000000000000000000ac751602| MSG_FLOATY
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
0cffffff000000000000000000000000| LOAD_MAP
44000000070000000000000000000000| PLAY_SONG
22011e00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
2801050014000000ffffff0000000000| UNKNOWN_28
db001400000000000000000000000000| SLEEP
ef000000000000000000000000000000| END
