f60014000000000000000000c4651602| START_THREAD
08000000ad0000000000000000000000| UNKNOWN_08
0cffffff000000000000000000000000| LOAD_MAP
db003c00000000000000000000000000| SLEEP
97000200010000000100000000000000| UNKNOWN_97
44000000130000000000000000000000| PLAY_SONG
4c000000fc0100000000000000000000| PLAY_SOUND
22011e00000000000000000000000000| UNKNOWN_22
db00f000000000000000000000000000| SLEEP
4e003c00fc0100000000000000000000| UNKNOWN_4e
23011e00000000000000000000000000| UNKNOWN_23
db003c00000000000000000000000000| SLEEP
ef000000000000000000000000000000| END
