f600f5220000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e4000600000000000000000000000000| SET_FLAG
e8002100000000000000000000000000| EXECUTE
e3000500000000000000000000000000| WAIT_FLAG
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000d0ae1602| CASE
d00001000000000000000000d81b1702| CASE
d1000000000000000000000060a41602| DEFAULT
d100000000000000000000001c321702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000600000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
